symbol,currentPrice,sharesOutstanding,trailingEps,forwardEps,lastDividendValue,freeCashflow,operatingCashflow,totalRevenue,shortRatio,beta,profitMargins,revenueGrowth,earningsGrowth,debtToEquity,priceToSalesTrailing12Months,returnOnEquity,averageVolume,sharesShort,trailingPE,forwardPE,priceToBook,dividendYield
NVDA,149.43,24490000384,2.53,4.12,0.01,1.37713,1.9871,3.9325,1.01,1.657,0.55041003,1.224,1.68,17.221,37.998695,1.23767,0.00895,0.01006,59.06324,33.724674,85.682335,0.0003
NVR,7988.67,3063880,483.31,518.05,0.167,329.5336,402.4694,3355.6795,2.73,1.201,0.15898,0.06,0.042,24.537,2.405055,0.38716,0.00656,0.01981,16.529081,15.147858,5.732188,
NWS,30.27,189480992,0.61,0.61,0.1,3.37831,6.42281,53.63599,4.64,1.351,0.034930002,0.031,3.181,44.272,1.5942636,0.04916,0.00367,0.0202,49.62295,28.828573,2.0878742,0.0066
NWSA,27.44,378342016,0.62,1.06,0.1,1.69192,3.21667,26.86194,1.76,1.351,0.034930002,0.031,3.181,44.272,1.5942633,0.04916,0.00632,0.01235,44.258064,26.133335,1.8926749,0.0073
NXPI,213.41,254156000,10.69,13.07,1.014,6.95931,13.88124,50.85459,3.31,1.494,0.20983,-0.054,-0.073,104.495,4.1964746,0.29555,0.00914,0.02925,19.963518,16.378534,5.7630095,0.0194
O,52.73,875211008,1.04,1.59,0.264,3.06769,3.84133,5.72971,3.42,0.996,0.1754,0.286,-0.089,68.941,9.298905,0.02513,0.00561,0.01697,50.701923,35.827606,1.1999909,0.059499998
ODFL,182.67,213498000,5.77,5.9,0.26,3.5237,7.9388,27.74982,6.65,0.989,0.21027,-0.03,-0.071,1.437,6.582745,0.30241,0.00663,0.03957,31.658579,31.435911,9.3523445,0.0057
OKE,101.62,582953024,4.66,5.97,0.99,2.18843,8.20821,34.19315,4.76,1.625,0.14047,0.199,0.192,166.619,3.0093756,0.16875,0.00504,0.02654,21.806868,16.751175,3.5152898,0.0385
OMC,85.1,196411008,7.25,8.64,0.7,6.52567,8.19455,78.54855,5.05,0.968,0.094519995,0.085,0.048,155.236,1.093462,0.33923998,0.00998,0.06401,11.737931,9.789205,4.2018466,0.0326
ON,64.51,425796992,4.07,4.32,,1.14879,4.55123,17.32727,4.38,1.654,0.23795,-0.192,-0.281,42.376,3.723033,0.2183,0.01515,0.06155,15.850122,15.036245,3.1987903,
ORCL,165.69,2796960000,4.09,7.16,0.4,3.69669,6.83814,19.24053,3.47,1.013,0.20396,0.069,0.198,749.978,8.644236,1.55578,0.00269,0.00757,40.511,23.487469,52.450146,0.0083
OXY,50.77,938342976,3.67,3.16,0.22,-5.18547,12.06595,28.92013,3.29,1.608,0.16254999,0.002,-0.18,79.146,1.7555248,0.13118,0.01218,0.03792,13.833787,14.24507,1.8050914,0.0174
PANW,179.5,656200000,3.77,7.2,,3.80783,4.96434,12.23331,4.75,1.118,0.3211,0.121,0.591,27.28,14.97959,0.74517995,0.00747,0.01566,47.612732,49.468117,11.287888,
PARA,10.93,626273024,-9.06,1.63,0.05,26.94212,1.64146,46.09332,5.53,1.767,-0.18887,-0.056,-0.056,91.924,0.26316968,-0.30080998,0.0144,0.10461,6.7173905,6.7173905,0.4384276,0.0187
PAYC,207.03,57662000,8.45,8.72,0.375,5.01659,8.80963,31.63127,4.21,1.139,0.25779,0.112,0.008,5.516,6.545106,0.32584998,0.01058,0.03657,24.500591,23.748564,7.691422,0.0074
PAYX,136.06,360063008,4.63,5.29,0.98,3.28047,4.86248,14.74964,10.71,0.987,0.31983998,0.025,0.017,22.517,9.469374,0.45672,0.00478,0.04812,29.386608,25.611294,12.890573,0.028900001
PCAR,107.24,524300992,9.14,7.76,3,-0.41479,8.3576,66.43684,5.82,0.89,0.13514,-0.052,-0.209,83.654,1.6141647,0.27142,0.00449,0.02135,11.733041,13.504851,3.0123596,0.0126
PCG,19.86,2193509888,1.25,1.48,0.025,-3.37034,2.99976,11.3193,1.97,1.035,0.110640004,0.009,0.685,221.631,1.8022296,0.10674,0.00642,0.01781,15.8880005,13.337095,1.5819659,0.0049
PEG,85.7,498224992,4.05,4.07,0.6,-1.75699,4.96964,20.93432,1.86,0.626,0.19482,0.076,2.852,137.098,4.1200337,0.13,0.00482,0.00886,21.160492,21.249952,2.651691,0.0278
PEP,146.27,1371990016,6.78,8.63,1.355,4.42195,8.76974,66.99757,3.46,0.542,0.1018,-0.006,-0.049,229.605,2.1832135,0.48819,0.00427,0.01525,21.573746,16.989214,10.32397,0.036199998
PFE,26.89,5666990080,0.75,2.93,0.42,2.01531,1.98747,10.47734,1.85,0.615,0.071609996,0.312,0.312,73.408,2.5664902,0.04538,0.00761,0.01506,35.853333,9.166275,1.6509086,0.0647
PFG,77.82,228726000,-0.74,8.44,0.72,4.53119,17.87248,61.49935,2.49,1.203,-0.01465,-0.345,-0.345,36.258,1.2668399,-0.01274,0.00525,0.01371,9.278955,9.278955,1.5878717,0.0375
PG,160.6,2355040000,5.8,7.42,1.007,5.63239,8.17141,35.62785,2.57,0.414,0.17063,-0.006,-0.121,69.338,4.50771,0.28766,0.00286,0.00754,27.689655,21.669672,7.4091163,0.024400001
PGR,239.59,585811008,13.61,13.8,0.1,24.86401,24.83566,122.83722,1.88,0.366,0.112720005,0.267,1.101,25.375,1.9718795,0.36411,0.00407,0.00852,17.603968,16.760136,5.1676984,0.0202
PH,641,128720000,22.31,29.44,1.63,19.22242,27.02257,155.26804,2.53,1.432,0.14468999,0.012,0.07,78.976,4.128345,0.24641001,0.00456,0.01012,28.731512,21.673243,6.4001436,0.010199999
PHM,108.93,205082000,13.41,13.5,0.22,4.79379,6.83435,84.44821,2.76,1.641,0.16635,0.118,0.156,19.411,1.303168,0.26705,0.00872,0.02236,8.123043,7.9094462,1.9345386,0.008
PKG,227.08,89804896,8.63,11.24,1.25,5.22104,13.37455,91.03178,2.06,0.777,0.09458,0.127,0.3,64.596,2.4945135,0.18972,0.0073,0.01406,26.312862,20.004847,4.7493362,0.0221
PLD,106.66,926174976,3.34,3.52,0.96,5.41603,5.02192,8.89595,3.48,1.094,0.37427,0.068,0.343,57.079,11.989721,0.05662,0.0043,0.01393,31.934134,39.987255,1.8635451,0.0364
PLTR,75.92,2180649984,0.19,0.47,,0.35966,0.45615,1.21355,0.95,2.697,0.18009001,0.3,1,5.552,68.77083,0.12409,0.0347,0.03544,399.57895,159.07472,38.30474,
PNR,99.52,165231008,3.94,4.85,0.23,3.46182,4.83384,24.78046,1.99,1.189,0.16290002,-0.015,0.063,49.774,4.0782175,0.20408002,0.00781,0.01365,25.258883,20.52801,4.699882,0.0099
PNW,83.09,113700000,5.24,4.68,0.895,-2.61855,13.58073,44.16078,3.39,0.518,0.122609995,0.08,-0.037,168.24,1.9077955,0.09578,0.01087,0.03586,15.856871,18.17446,1.4270011,0.0425
PODD,268.41,70144800,5.86,3.87,,1.51223,4.67319,28.28292,4.69,1.219,0.21215999,0.257,0.46,128.909,9.490178,0.48786,0.00775,0.03791,45.803753,68.279465,16.839827,
POOL,332.51,38055500,11.64,12.03,1.2,12.21668,16.47147,139.96726,9.17,1.008,0.084189996,-0.028,-0.068,86.515,2.375627,0.31463,0.00852,0.08224,28.56615,27.637196,8.839825,0.014199999
PPG,115.07,232000000,6.35,8.85,0.68,4.49946,8.5,77.71552,2.52,1.254,0.08242,-0.015,0.117,91.282,1.4806566,0.19149,0.00753,0.01991,18.12126,13.174767,3.427865,0.0233
PPL,31.73,737969984,1.09,1.83,0.258,-0.92839,2.62748,11.22268,3.23,0.834,0.09949,0.011,-0.069,117.528,2.875427,0.05864,0.006,0.01993,29.11009,17.381538,1.6611695,0.0319
PRU,118.64,355931008,11.19,14.69,1.3,55.14798,20.46183,205.00039,4.1,1.282,0.056199998,1.334,1.334,141.51,0.58116955,0.13773,0.00403,0.01693,10.602324,8.042866,1.388333,0.0436
PSA,295.83,175183008,9.5,10.63,3,12.29746,17.98873,26.82124,5.64,0.69,0.40367,0.034,-0.325,97.567,11.201953,0.19163999,0.00409,0.02161,31.14,27.79453,9.848197,0.0399
PSX,115.17,412988992,7.76,9.49,1.15,2.23039,12.54997,357.72867,2.91,1.319,0.0228,-0.104,-0.825,67.143,0.3245197,0.11121,0.00621,0.01794,14.841495,12.3461685,1.6560024,0.0396
PTC,184.83,120356000,3.12,7,,6.23138,6.23138,19.09728,2.91,1.174,0.16373,0.146,1.728,60.052,9.678344,0.12775,0.00621,0.01675,59.240387,26.758686,6.9066925,
PWR,328.06,147612000,5.45,10.16,0.1,12.41958,16.07403,155.15893,4.62,1.009,0.03539,0.155,0.066,70.631,2.114348,0.12696,0.00597,0.02862,60.194496,32.081253,6.848423,0.0012
PYPL,89.53,1002540032,4.18,4.89,,3.75309,7.65057,31.3773,3.07,1.436,0.14076,0.058,0.065,65.718,2.8533366,0.22188,0.0091,0.02519,21.418661,18.319769,4.4644456,
QCOM,159.85,1111000064,8.93,12.23,0.85,8.02925,10.9829,35.0693,2.78,1.286,0.2603,0.187,0.941,58.765,4.5581174,0.42253,0.00721,0.0206,17.900335,13.06089,6.7715836,0.0215
RCL,228.41,268875008,9.96,14.29,0.55,-6.00658,18.27615,59.71176,6.78,2.6,0.16207,0.175,0.154,298.394,3.8340871,0.44263,0.00698,0.04342,22.932732,15.779729,8.717274,0.0096
REG,71.08,181504992,2.06,2.1,0.705,3.45281,4.24627,8.20811,4.34,1.218,0.27096,0.089,0.08,66.82,8.9510975,0.0583,0.0059,0.02713,34.504856,34.440323,1.9667959,0.038599998
REGN,716.26,108072000,40.33,45.31,,20.79759,39.30158,128.12847,2.14,0.142,0.33613998,0.106,0.298,9.221,5.699158,0.17166,0.00749,0.01739,17.75998,15.757298,2.6329217,
RL,242.96,40217100,10.86,13.02,0.825,19.74036,27.36647,167.59289,2.85,1.504,0.10145,0.057,0.055,109.237,2.1604195,0.28424,0.01598,0.04604,22.37201,18.360548,6.17763,0.014099999
RMD,235.09,146796000,7.64,10.29,0.53,7.63332,9.81304,32.74943,10.8,0.687,0.23149,0.111,0.416,16.366,7.178446,0.23565,0.00604,0.05318,30.770943,22.831808,6.642086,0.0092
ROK,281.46,113033000,8.25,11.4,1.25,5.24194,7.64202,73.11316,2.68,1.359,0.11526,-0.206,-0.198,111.327,3.8678355,0.25539,0.00753,0.02425,34.116364,24.61668,9.099608,0.0185
ROL,45.65,484304992,0.97,1.12,0.15,0.92316,1.18173,6.83583,4.29,0.701,0.14182,0.09,0.077,63.703,6.6780515,0.38792,0.00328,0.01368,47.061855,40.80374,16.77692,0.0143
ROP,507.1,107229000,13.39,20.02,0.825,19.1175,21.38228,63.18813,1.99,1.029,0.21784,0.129,0.054,45.241,8.144614,0.08238,0.00481,0.00911,37.871544,25.265043,2.936782,0.0064
ROST,154.95,329928992,6.38,6.69,0.368,3.33403,7.15078,63.93174,2.19,1.1,0.09824,0.071,0.205,114.299,2.4236786,0.43236,0.00808,0.01426,24.286833,22.959772,10.661208,0.010299999
RSG,200.95,313152000,6.25,6.81,0.58,4.55613,12.1746,50.51093,2.33,0.707,0.12458,0.065,0.185,114.524,3.9801252,0.18284,0.00304,0.00707,32.152,29.385227,5.6068635,0.0115
RTX,114.1,1331020032,3.46,6.11,0.63,6.06377,7.74519,59.38453,2.6,0.54,0.05969,0.492,0.492,69.597,1.9213758,0.073460005,0.00339,0.00881,32.97688,18.796001,2.4850266,0.0217
RVTY,115.59,121702000,2.13,5.16,0.07,6.43904,5.34652,22.36245,4.03,1.056,0.093439996,0.02,9.234,41.849,5.1689324,0.03308,0.00711,0.03264,54.2676,22.71249,1.7814869,0.0025
SCHW,74.48,1779660032,2.56,3.8,0.25,18.84292,18.84292,10.52785,2.04,0.952,0.27471,0.052,0.271,144.242,7.2739644,0.12111,0.0044,0.00862,29.093752,18.830431,3.5836983,0.013400001
SHW,337.82,251852992,10.1,12.78,0.715,7.61813,12.45687,91.53554,3.3,1.175,0.11094,0.007,0.078,291.114,3.6905885,0.64452004,0.00741,0.02182,33.447525,26.53573,20.369009,0.0085
SJM,109.16,106416000,4.85,10.53,1.08,5.0837,11.12991,79.86205,4.83,0.246,0.08771,0.177,-0.026,111.438,1.3965278,0.10090999,0.01026,0.03205,22.507217,10.35885,1.5066736,0.038
SLB,38.76,1412150016,3.11,3.67,0.275,2.43397,5.12269,25.4895,4.56,1.532,0.12441,0.102,0.064,57.141,1.520626,0.21722999,0.00836,0.0309,12.463022,10.98954,2.5444758,0.028499998
SMCI,36.45,585564992,2.2,4.24,,-4.83978,-4.23426,25.51869,0.79,1.279,0.08085,1.43,0.61,39.749,1.4283646,0.32469,0.13574,0.15637,16.568182,9.879843,3.9109445,
SNA,334.58,52489800,19.37,20.12,1.86,15.59446,23.25976,97.21889,5.8,0.954,0.20402001,-0.005,0.042,23.352,3.4568415,0.20599002,0.00778,0.03986,17.273102,16.641167,3.2086616,0.0255
SNPS,501.06,154578000,9.37,14.87,,-0.93303,7.57075,41.94283,3.07,1.076,0.23111999,0.127,0.204,8.7,11.946262,0.21819,0.00679,0.01841,53.474922,28.984217,9.98386,
SO,80.96,1095680000,4.22,4.32,0.72,0.4552,8.6047,24.12018,4.58,0.509,0.17867,0.042,0.078,176.35,3.4129226,0.12713,0.00368,0.01658,19.184835,18.758457,2.6640341,0.035
SPG,174.41,326270016,7.45,6.78,2.1,6.04979,11.54216,18.11078,3.45,1.768,0.41482,0.049,-0.198,780.789,11.187942,0.81232,0.00412,0.01597,23.41074,26.868105,21.295485,0.0477
SPGI,494.19,310300000,11.22,16.81,0.91,14.33572,17.02546,44.36996,2.8,1.183,0.25792,0.159,0.335,31.362,11.2591915,0.099309996,0.00392,0.01069,44.045452,29.292934,4.5112557,0.0073
SRE,84.51,633398976,4.38,5.14,0.62,-7.18643,7.31135,20.39473,4.9,0.759,0.22697,-0.167,-0.123,96.747,4.29866,0.09734,0.00509,0.02542,19.294521,16.38626,1.8571993,0.028299998
STE,204.01,98707296,5.94,9.97,0.57,6.61895,11.14931,53.9527,1.66,0.851,0.08164,0.073,0.305,36.303,3.783317,0.092700005,0.00599,0.00986,34.345116,20.529308,3.0541334,0.0112
STLD,118.64,152244992,11.12,10.04,0.46,0.69301,15.51625,117.58465,2.14,1.325,0.09799,-0.054,-0.409,40.575,1.0089753,0.19703,0.00908,0.01985,10.6690645,12.001319,1.9993259,0.0163
STZ,222.93,181536000,3.13,15.17,1.01,5.32484,16.69256,56.13652,2.26,0.893,0.05687,0.029,0.029,149.155,3.972327,0.07111,0.00778,0.0158,71.22364,14.705242,5.1405444,0.0182
SWK,82.65,154164000,-1.27,5.49,0.82,9.56368,7.76511,99.77491,2.4,1.255,-0.01333,-0.051,19,79.081,0.82836455,-0.02031,0.01078,0.02592,14.99037,14.99037,1.4380916,0.040599998
SWKS,90.905,159920992,3.77,6.4,0.7,7.13415,10.71842,27.33725,4.29,1.205,0.17848,-0.159,-0.758,15.691,3.3253162,0.12777,0.01456,0.05322,24.112732,11.813469,2.2924547,0.0335
SYK,361.36,381216000,9.32,13.53,0.84,7.27967,10.07041,57.64186,3.32,0.92,0.16337,0.119,0.2,79.443,6.271834,0.18868,0.00318,0.01123,38.772533,26.76243,6.8368173,0.0093
SYY,74.74,491225984,3.86,4.92,0.51,4.04822,6.01556,162.2634,4.79,1.2,0.024360001,0.044,0.044,599.732,0.46486145,0.88346,0.00596,0.02982,19.362694,15.131453,16.631063,0.027
T,22.6,7175289856,1.23,2.24,0.278,2.44798,5.33121,17.01116,3.06,0.73,0.07419,-0.005,-0.005,125.151,1.3285397,0.08759,0.00469,0.01486,18.373983,10.357898,1.5841862,0.049000002
TAP,55.96,193564992,4.49,5.93,0.44,3.46725,9.76571,60.35285,5.01,0.827,0.08028,-0.078,-0.515,48.838,0.9751732,0.071669996,0.00888,0.04682,12.463252,9.372812,0.86590534,0.0318
TDY,455.51,46602300,19.59,21.46,,18.46609,21.97102,120.0091,1.72,1.007,0.16876,0.029,0.335,29.147,3.8305457,0.103140004,0.00522,0.00947,23.25217,21.065302,2.21361,
TECH,74.25,158892000,0.96,2.19,0.08,1.46269,1.91002,7.37345,3.49,1.278,0.12864,0.045,-0.323,18.653,10.069907,0.07287,0.00556,0.02209,77.34375,33.80763,5.515935,0.0043
TEL,143.44,299161984,10.34,8.99,0.65,6.91014,11.62247,52.96462,2.59,1.328,0.20151,0.008,-0.479,37.194,2.708223,0.26461,0.00506,0.01195,13.87234,15.912143,3.481976,0.0183
TER,140,162860992,3.36,4.25,0.12,2.37435,3.9199,16.8094,2.39,1.515,0.18745,0.048,0.141,2.738,8.328675,0.19206,0.01445,0.03444,41.666668,33.071438,7.8603106,0.0037
TFX,180.49,46443700,5,15.27,0.34,6.3041,12.31868,65.15036,1.27,1.177,0.07847,0.024,-0.185,42.669,2.789705,0.05412,0.00957,0.01193,36.098,11.820505,1.8704208,0.0075
TGT,139.29,458212000,9.67,10.51,1.12,8.17007,18.68567,234.17109,4.25,1.242,0.04182,0.027,0.428,132.802,0.59482145,0.33968,0.01358,0.03051,14.404343,15.105769,4.787585,0.0287
TJX,120.88,1124160000,4.24,4.6,0.375,3.13901,5.6371,49.47961,2.86,0.893,0.08563,0.056,0.129,162.567,2.4430263,0.66199,0.00442,0.01147,28.509436,26.27078,18.764359,0.0125
TMO,537.19,382500000,16.12,23.49,0.39,17.7317,23.79085,110.77124,1.71,0.792,0.14479999,0.002,-0.038,72.329,4.849544,0.12944001,0.0046,0.01034,33.32444,22.996334,4.1940446,0.0029
TMUS,212.38,1160489984,8.5,10.67,0.65,7.9209,18.61541,68.94157,4.25,0.496,0.12964,0.047,0.434,182.272,3.1781878,0.16087,0.00309,0.01249,24.985884,19.607752,3.8496957,0.0161
TPL,1226.63,22974900,19.5,73.12,1.17,8.29202,20.69763,29.88897,3.25,1.589,0.65343004,0.099,0.011,0.091,41.039562,0.445,0.00979,0.05806,62.904102,16.775574,26.788162,0.0053
TPR,67.66,233036000,3.5,4.76,0.35,4.24859,5.57768,28.60288,4.16,1.556,0.12116,-0.004,-0.06,295.298,2.3654964,0.29924,0.0193,0.09713,19.33143,13.41098,5.2867637,0.021
TRGP,186.16,218063008,5.53,8.26,0.75,-1.57896,15.03923,74.36245,2.31,2.237,0.07774,-0.012,0.804,321.534,2.5035517,0.33885,0.0079,0.01727,33.66365,23.745836,15.790993,0.0161
TRMB,71.1,244208000,6.02,2.98,,4.4521,2.10968,14.8738,1.86,1.489,0.40668,-0.085,-0.467,32.544,4.7802186,0.28913,0.00485,0.0101,11.810631,24.424007,2.9722838,
TROW,114.33,222159008,9.1,9.35,1.24,8.02438,8.14777,31.1088,8.94,1.423,0.30354,0.069,0.34,3.247,3.6867461,0.20495,0.00599,0.05384,12.563736,11.953641,2.4780009,0.0432
TRV,241.88,227019008,19.45,21.25,1.05,64.16698,40.14642,199.72777,2.14,0.63,0.10019,0.119,2.115,29.004,1.2131022,0.19059,0.00549,0.01289,12.435989,11.387358,1.9824767,0.0173
TSCO,53.65,534195008,2.12,11.13,0.22,0.80209,2.43304,27.64822,6.75,0.814,0.07534,0.016,-0.039,233.038,1.9404504,0.5058,0.00954,0.0597,25.306606,24.337357,2.5063066,0.016900001
TSLA,411.05,3210060032,3.65,3.24,,0.21078,4.51051,30.26423,0.95,2.295,0.13075,0.078,0.17,18.078,13.58204,0.20389,0.02895,0.02516,112.61643,126.74523,18.850317,
TSN,56.8,286164000,2.2,3.5,0.49,4.96132,9.05075,186.28829,2.25,0.775,0.01501,0.016,0.016,52.863,0.38871703,0.044710003,0.00763,0.01872,25.81818,13.520011,1.0990287,0.0344
TT,383.52,225024000,10.9,12.65,0.84,10.99638,14.13405,86.16103,2.7,1.221,0.12729,0.114,0.25,69.203,4.4512005,0.35146,0.00513,0.01318,35.18532,30.235302,11.37704,0.0088
TTWO,188.98,175627008,-21.22,7.84,0.001,3.10972,-2.30773,31.07153,5.52,0.85,-0.66375,0.041,0.041,70.922,6.0820947,-0.50913,0.00806,0.042,24.010021,24.010021,5.719733,
TXN,192.18,912217024,5.42,5.88,1.36,-0.5192,6.84486,17.22287,3.08,0.98,0.31601998,-0.084,-0.206,84.399,11.158416,0.29293,0.00604,0.02045,35.45756,31.66532,10.149994,0.0286
TXT,75.41,185512000,4.55,6.7,0.02,3.53953,6.02117,75.3644,4.23,1.244,0.06301,0.025,-0.126,56.941,1.0048501,0.12597999,0.00614,0.02374,16.573626,11.504828,2.0124898,0.0011
TYL,575.84,42798600,5.41,10.83,0.006667,12.55505,12.78729,48.54378,3.08,0.771,0.113929994,0.098,0.582,19.597,12.0338745,0.077259995,0.00604,0.0209,106.43993,53.408226,7.522797,
UAL,98.57,328876000,8.64,12.09,2.15,-3.7058,19.1896,170.2587,3.94,1.393,0.04936,0.025,-0.152,291.676,0.57894254,0.27245,0.01952,0.06068,11.408565,7.891294,2.8341815,
UBER,66.31,2105709952,2.03,2.36,,1.83833,2.94912,19.9244,2.27,1.337,0.10492,0.204,11.205,80.343,3.3280807,0.34326,0.01114,0.02949,32.665024,21.082384,9.440489,
